id,date
USC00010369,1984-02-06
USC00010395,1984-01-15
USC00010430,1983-12-27
USC00010655,1983-12-17
USC00010957,1984-02-05
USC00011301,1984-02-28
USC00011512,1983-12-27
USC00013043,1984-02-06
USC00013430,1983-12-23
USC00013511,1984-02-28
USC00013573,1984-02-05
USC00013620,1983-12-17
USC00013645,1984-01-15
USC00013775,1984-02-05
USC00014226,1984-02-28
USC00015635,1983-12-27
USC00016121,1984-01-15
USC00016362,1984-02-29
USC00016478,1984-01-15
USC00017131,1983-12-17
USC00017157,1984-01-15
USC00017207,1984-02-06
USC00017999,1984-02-29
USC00018469,1983-12-28
USC00018673,1984-02-28
USC00018859,1983-12-29
USC00018998,1984-02-29
USC00020159,1983-11-21
USC00020490,1983-11-21
USC00020750,1983-11-18
USC00020768,1984-01-02
USC00020871,1983-11-21
USC00021001,1983-11-18
USC00021248,1983-11-21
USC00021574,1983-11-21
USC00021920,1983-11-21
USC00023160,1983-11-21
USC00023303,1983-12-03
USC00023596,1983-11-18
USC00023683,1983-11-18
USC00023828,1983-11-18
USC00023926,1983-11-20
USC00023961,1983-11-21
USC00024418,1983-11-08
USC00024586,1984-02-17
USC00024675,1983-11-22
USC00024686,1984-02-17
USC00025412,1983-11-22
USC00025665,1983-12-20
USC00025732,1983-11-21
USC00026119,1983-11-21
USC00026180,1983-11-22
USC00026190,1983-11-21
USC00026601,1983-11-21
USC00026716,1984-01-02
USC00026796,1983-11-25
USC00027855,1983-11-21
USC00028012,1983-11-22
USC00028018,1983-11-21
USC00028162,1983-11-21
USC00028329,1983-11-18
USC00028468,1983-12-21
USC00028650,1983-12-22
USC00029271,1983-11-22
USC00029359,1983-11-18
USC00029410,1984-01-17
USC00030006,1983-12-19
USC00030064,1983-12-19
USC00030130,1983-12-19
USC00030150,1984-01-15
USC00030178,1983-12-16
USC00030220,1983-12-16
USC00030240,1983-12-16
USC00030286,1983-12-16
USC00030300,1983-12-16
USC00030326,1984-01-18
USC00030458,1983-12-19
USC00030460,1983-12-19
USC00030536,1984-01-17
USC00030586,1983-12-21
USC00030616,1984-01-18
USC00030724,1984-01-11
USC00030746,1983-12-19
USC00030798,1984-01-16
USC00030832,1983-12-19
USC00030842,1983-12-19
USC00030936,1983-12-20
USC00031010,1983-12-14
USC00031102,1983-12-21
USC00031132,1984-01-18
USC00031152,1983-12-16
USC00031492,1983-12-19
USC00031596,1983-12-20
USC00031632,1983-12-20
USC00031730,1983-12-17
USC00031750,1983-12-16
USC00031838,1983-12-19
USC00031900,1983-12-15
USC00031962,1983-12-17
USC00032015,1983-12-15
USC00032148,1983-12-16
USC00032356,1983-12-14
USC00032366,1983-12-19
USC00032444,1983-12-14
USC00032540,1983-12-19
USC00032544,1983-12-16
USC00032578,1983-12-19
USC00032760,1983-12-19
USC00032794,1984-02-27
USC00032842,1983-12-16
USC00032930,1983-12-13
USC00032946,1983-12-14
USC00032962,1983-12-19
USC00032976,1983-12-18
USC00032978,1984-02-28
USC00033235,1983-12-19
USC00033242,1984-01-16
USC00033428,1983-12-16
USC00033438,1983-12-16
USC00033466,1983-12-16
USC00033544,1983-12-14
USC00033600,1983-12-19
USC00033734,1983-12-27
USC00033761,1983-12-19
USC00033862,1983-12-16
USC00034060,1983-12-16
USC00034106,1983-12-19
USC00034134,1983-12-16
USC00034290,1983-12-19
USC00034528,1983-12-19
USC00034548,1983-12-16
USC00034562,1983-12-16
USC00034572,1984-01-18
USC00034638,1984-01-18
USC00034746,1983-12-19
USC00034938,1984-01-18
USC00034988,1983-12-16
USC00035036,1983-12-19
USC00035038,1984-01-10
USC00035072,1984-01-18
USC00035079,1983-12-16
USC00035112,1983-12-16
USC00035158,1983-12-20
USC00035160,1984-01-16
USC00035186,1984-01-18
USC00035200,1983-12-19
USC00035354,1984-01-16
USC00035358,1983-12-16
USC00035376,1983-12-16
USC00035498,1983-12-16
USC00035508,1984-02-28
USC00035691,1983-12-27
USC00035754,1983-12-16
USC00035770,1983-12-16
USC00035820,1983-12-19
USC00035866,1984-01-14
USC00035908,1983-12-16
USC00036376,1983-12-16
USC00036380,1983-12-20
USC00036403,1983-12-19
USC00036506,1983-12-19
USC00036562,1983-12-16
USC00036624,1984-02-27
USC00036768,1983-12-16
USC00036823,1983-12-16
USC00036918,1983-12-20
USC00036928,1983-12-19
USC00037038,1984-01-14
USC00037488,1983-12-19
USC00037582,1983-12-17
USC00037712,1983-12-19
USC00038052,1983-12-27
USC00038084,1984-01-18
USC00040014,1984-01-17
USC00040029,1983-11-14
USC00040161,1983-11-14
USC00040684,1983-11-21
USC00040741,1983-11-20
USC00040931,1983-11-14
USC00040943,1983-10-02
USC00041018,1983-11-14
USC00041072,1983-11-24
USC00041080,1983-12-20
USC00041149,1983-11-09
