id,date
USC00010063,1996-01-07
USC00010369,1996-01-07
USC00010390,1996-01-07
USC00010505,1996-02-03
USC00010655,1996-01-07
USC00010957,1996-01-07
USC00011620,1996-01-07
USC00011803,1996-02-29
USC00013573,1996-01-07
USC00013575,1996-01-07
USC00013645,1995-11-15
USC00013655,1996-02-02
USC00013775,1996-01-07
USC00013930,1996-02-03
USC00014209,1996-01-07
USC00014226,1996-01-07
USC00014798,1996-01-07
USC00015112,1996-01-07
USC00015439,1995-09-04
USC00015539,1996-01-07
USC00015635,1996-01-07
USC00016000,1996-01-07
USC00016121,1996-01-07
USC00016478,1996-01-07
USC00017157,1996-01-07
USC00017207,1996-02-03
USC00017304,1996-01-07
USC00017947,1996-01-07
USC00017999,1996-02-03
USC00018209,1996-01-07
USC00018469,1996-01-07
USC00018517,1996-01-06
USC00018998,1996-01-07
USC00020159,1995-12-18
USC00020174,1995-12-17
USC00020487,1995-12-17
USC00020586,1996-02-27
USC00020671,1996-02-27
USC00020750,1995-12-17
USC00020808,1996-02-01
USC00020871,1996-02-27
USC00021001,1995-11-01
USC00021248,1996-02-26
USC00021574,1995-12-17
USC00021654,1996-01-22
USC00021920,1996-01-22
USC00023009,1995-12-17
USC00023160,1995-12-17
USC00023190,1996-02-13
USC00023303,1996-02-26
USC00023596,1996-01-20
USC00023683,1995-12-14
USC00023828,1995-12-24
USC00023961,1995-12-17
USC00024089,1995-12-24
USC00024391,1996-02-26
USC00024453,1996-02-26
USC00025129,1996-02-26
USC00025412,1995-11-02
USC00025780,1995-12-17
USC00025924,1995-12-21
USC00026037,1996-02-26
USC00026119,1995-12-17
USC00026468,1996-02-01
USC00026597,1995-12-17
USC00026601,1995-12-18
USC00026616,1995-12-14
USC00026653,1995-12-23
USC00026796,1995-12-17
USC00027593,1996-01-23
USC00027708,1996-02-26
USC00027716,1996-01-22
USC00028012,1995-12-17
USC00028018,1995-12-17
USC00028162,1995-12-17
USC00028329,1995-12-17
USC00028904,1996-02-26
USC00029156,1995-12-17
USC00029271,1996-02-26
USC00029359,1996-01-22
USC00029410,1995-12-17
USC00029542,1996-01-23
USC00029562,1995-12-21
USC00030006,1995-11-11
USC00030150,1996-02-02
USC00030286,1996-01-07
USC00030460,1996-01-06
USC00030582,1996-02-02
USC00030586,1995-12-23
USC00030764,1996-01-07
USC00030798,1996-01-02
USC00030800,1996-02-01
USC00030832,1996-01-02
USC00030842,1996-01-02
USC00031102,1996-02-02
USC00031132,1996-01-03
USC00031140,1996-02-02
USC00031310,1995-11-29
USC00031632,1995-12-09
USC00031750,1996-01-07
USC00031834,1996-01-02
USC00031838,1996-01-03
USC00031900,1995-12-19
USC00031948,1996-01-07
USC00032015,1996-02-02
USC00032020,1996-02-02
USC00032148,1996-02-01
USC00032356,1995-11-11
USC00032366,1996-01-03
USC00032444,1996-02-02
USC00032670,1996-02-02
USC00032794,1996-01-02
USC00032810,1996-02-02
USC00032930,1995-12-19
USC00032946,1995-12-18
USC00033200,1996-01-07
USC00033428,1996-02-02
USC00033438,1996-02-02
USC00033442,1996-02-02
USC00033466,1996-01-03
USC00033544,1995-11-11
USC00033704,1996-01-07
USC00033734,1996-01-06
USC00033821,1996-01-06
USC00033862,1996-01-06
USC00034106,1995-11-11
USC00034185,1996-02-01
USC00034548,1996-01-07
USC00034562,1996-01-06
USC00034666,1996-01-07
USC00034708,1996-02-02
USC00034746,1995-12-24
USC00034756,1996-01-02
USC00034839,1996-02-05
USC00034938,1995-11-29
USC00034988,1996-01-02
USC00035018,1995-11-11
USC00035036,1995-11-11
USC00035079,1996-02-02
USC00035112,1996-02-02
USC00035160,1995-11-11
USC00035177,1996-02-02
USC00035200,1996-02-02
USC00035354,1995-11-10
USC00035358,1996-01-02
USC00035428,1995-11-11
USC00035498,1996-01-06
USC00035514,1996-01-01
USC00035563,1996-01-06
USC00035591,1996-01-02
USC00035691,1996-01-03
USC00035754,1996-02-02
USC00035770,1996-02-02
USC00035820,1996-01-06
USC00035866,1996-01-07
USC00035908,1996-01-06
USC00036008,1996-01-02
USC00036253,1996-01-01
USC00036393,1995-11-11
USC00036506,1995-11-29
USC00036562,1996-01-07
USC00036928,1996-01-02
USC00037038,1996-02-02
USC00037488,1996-01-02
USC00037582,1996-01-07
USC00038052,1996-01-06
USC00040029,1995-12-15
USC00040161,1995-11-26
USC00040379,1996-02-25
USC00040673,1996-02-25
USC00040684,1995-12-23
USC00040738,1996-01-23
USC00040741,1995-12-23
USC00040931,1995-12-13
USC00040943,1995-11-26
USC00041018,1995-12-13
USC00041072,1995-12-23
USC00041080,1996-01-21
USC00041277,1995-12-14
USC00041497,1995-12-15
USC00041697,1995-12-16
USC00041700,1995-12-15
USC00041806,1996-02-27
USC00041878,1996-02-25
USC00041990,1995-12-15
USC00042239,1996-01-22
USC00042456,1996-02-25
USC00042467,1995-12-13
USC00042500,1996-01-18
USC00042504,1995-12-23
USC00042506,1996-01-18
USC00042574,1996-01-17
USC00042640,1996-01-19
USC00042771,1996-02-25
USC00042941,1995-12-24
USC00043134,1996-01-22
USC00043157,1995-12-15
USC00043384,1996-01-23
USC00043463,1996-01-21
USC00043551,1995-12-14
USC00043573,1996-02-25
USC00043614,1996-01-18
USC00043621,1996-01-16
USC00043672,1996-01-22
USC00043859,1996-01-18
USC00043939,1996-01-21
USC00044211,1995-12-23
USC00044278,1995-12-23
USC00044288,1996-01-21
USC00044412,1995-12-23
USC00044484,1996-01-22
USC00044523,1996-02-25
USC00044671,1995-12-23
USC00044713,1995-12-13
USC00044838,1995-12-13
USC00044881,1995-12-13
USC00045026,1995-12-14
USC00045280,1995-12-11
USC00045311,1995-12-04
USC00045356,1995-12-13
USC00045400,1995-12-13
USC00045449,1995-12-15
USC00045679,1995-12-14
USC00045721,1995-12-23
USC00045756,1995-12-23
USC00045795,1996-02-26
USC00045890,1995-12-23
USC00045933,1996-01-22
USC00045983,1995-12-15
USC00046136,1996-01-22
USC00046165,1996-02-25
USC00046597,1995-12-16
USC00046773,1995-12-24
USC00046944,1996-01-18
USC00046946,1996-01-18
USC00047253,1995-12-23
USC00047641,1995-12-15
USC00048218,1996-02-22
USC00048380,1995-12-13
USC00048580,1996-01-19
USC00048606,1995-12-16
USC00048758,1995-12-13
USC00048826,1995-12-23
USC00048873,1995-12-13
USC00049026,1996-01-23
USC00049043,1995-12-13
USC00049053,1996-01-16
USC00049105,1995-11-26
USC00049124,1996-02-22
USC00049351,1995-12-13
USC00049390,1996-01-18
USC00049582,1996-01-24
USC00049855,1996-01-18
USC00049866,1996-01-18
USC00050102,1996-02-02
USC00050109,1995-09-21
USC00050185,1995-09-21
USC00050214,1995-10-22
USC00050263,1995-11-09
USC00050301,1995-09-21
USC00050304,1995-10-23
USC00050372,1995-09-30
USC00050454,1995-09-21
USC00050776,1995-11-10
USC00050797,1995-11-27
USC00050834,1995-09-21
USC00050848,1995-09-20
USC00050895,1996-01-05
USC00050909,1995-09-21
USC00050945,1995-10-23
USC00050950,1995-09-21
USC00051017,1995-12-30
USC00051060,1995-09-21
USC00051071,1995-11-10
USC00051121,1995-10-23
USC00051179,1995-09-21
USC00051186,1995-09-21
USC00051268,1995-11-10
USC00051294,1995-11-03
USC00051401,1995-09-21
USC00051458,1995-11-10
USC00051528,1995-09-20
USC00051547,1995-11-10
USC00051564,1995-09-21
USC00051609,1995-10-22
USC00051660,1995-09-30
USC00051681,1995-09-20
USC00051713,1995-11-02
USC00051741,1995-10-22
USC00051772,1996-02-26
USC00051886,1996-01-31
USC00051932,1995-10-23
USC00051939,1995-09-26
USC00051959,1995-09-29
USC00051964,1995-10-22
USC00052162,1995-09-21
USC00052184,1995-10-22
USC00052192,1995-12-30
USC00052281,1995-09-30
USC00052286,1996-01-17
USC00052326,1995-11-10
USC00052441,1995-11-10
USC00052494,1995-10-05
USC00052759,1995-09-21
USC00052790,1995-09-21
USC00052932,1995-09-21
USC00052944,1995-10-22
USC00052965,1995-09-21
USC00053005,1995-09-20
USC00053006,1995-09-20
USC00053016,1995-11-10
USC00053038,1995-11-02
USC00053079,1995-09-21
USC00053116,1995-09-30
USC00053146,1996-01-23
USC00053246,1996-01-18
USC00053258,1995-09-20
USC00053261,1995-09-21
USC00053331,1995-09-21
USC00053359,1995-11-27
USC00053489,1996-01-02
USC00053496,1995-10-04
USC00053530,1995-11-09
USC00053541,1995-10-23
USC00053553,1995-09-20
USC00053592,1995-10-04
USC00053629,1995-09-21
USC00053656,1995-09-21
USC00053662,1995-11-10
USC00053738,1995-12-30
USC00053828,1995-09-21
USC00053867,1995-10-05
USC00054054,1995-09-21
USC00054076,1995-09-21
USC00054082,1995-10-23
USC00054135,1995-09-21
USC00054172,1995-09-21
USC00054242,1995-09-21
USC00054293,1995-09-21
USC00054380,1995-09-21
USC00054413,1996-01-04
USC00054444,1995-12-23
USC00054452,1995-09-21
USC00054512,1995-09-21
USC00054538,1995-09-21
USC00054546,1995-09-21
USC00054603,1995-09-21
USC00054664,1995-10-04
USC00054724,1996-02-02
USC00054726,1995-12-18
USC00054734,1995-11-01
USC00054742,1995-09-20
USC00054762,1995-12-22
USC00054770,1995-09-21
USC00054834,1996-01-05
USC00054934,1995-11-27
USC00054945,1995-09-21
USC00055025,1995-09-21
USC00055116,1995-12-22
USC00055236,1995-11-01
USC00055322,1995-11-10
USC00055402,1995-11-27
USC00055414,1995-11-27
USC00055422,1995-10-22
USC00055427,1995-12-18
USC00055446,1995-10-22
USC00055484,1995-10-22
USC00055507,1995-11-29
USC00055531,1995-11-10
USC00055706,1995-11-10
USC00055734,1995-09-20
USC00055797,1995-09-21
USC00055922,1995-09-21
USC00055934,1995-09-21
USC00055984,1995-11-01
USC00056012,1995-10-22
USC00056023,1995-09-21
USC00056131,1996-01-26
USC00056136,1996-01-05
USC00056203,1995-10-22
USC00056258,1995-12-07
