id,date
USC00010655,1989-12-25
USC00010957,1989-12-24
USC00012675,1989-12-23
USC00012840,1989-12-09
USC00013620,1989-12-09
USC00013645,1989-12-09
USC00013655,1989-12-25
USC00013775,1989-12-09
USC00014431,1989-12-23
USC00014619,1989-12-10
USC00015635,1989-12-25
USC00016478,1989-12-09
USC00017157,1989-12-09
USC00017207,1989-12-24
USC00018469,1989-11-17
USC00018755,1989-12-25
USC00020159,1989-11-29
USC00020174,1989-11-30
USC00020309,1990-02-02
USC00020380,1990-01-19
USC00020487,1989-12-30
USC00020492,1989-12-29
USC00020586,1990-01-03
USC00020670,1990-02-19
USC00020750,1990-01-15
USC00020775,1990-01-03
USC00020808,1989-11-30
USC00020871,1989-12-29
USC00021001,1989-10-26
USC00021330,1990-02-02
USC00021574,1989-12-29
USC00021614,1990-01-18
USC00021654,1990-01-03
USC00021664,1990-01-03
USC00021920,1990-01-14
USC00022329,1990-01-15
USC00023009,1989-12-29
USC00023160,1989-12-29
USC00023303,1989-11-30
USC00023448,1990-02-15
USC00023596,1989-12-29
USC00023683,1989-11-30
USC00023828,1989-12-29
USC00023961,1989-12-29
USC00024089,1989-12-30
USC00024391,1990-01-18
USC00024453,1990-01-02
USC00024586,1990-02-01
USC00024645,1990-01-03
USC00024675,1990-01-03
USC00025412,1989-11-30
USC00025635,1990-02-19
USC00025665,1990-01-15
USC00025780,1989-12-29
USC00026037,1990-01-02
USC00026119,1990-01-03
USC00026180,1990-02-14
USC00026328,1990-02-02
USC00026353,1990-01-03
USC00026468,1990-02-02
USC00026597,1989-12-29
USC00026601,1989-12-30
USC00026653,1990-02-02
USC00026716,1990-01-03
USC00026796,1990-01-18
USC00027390,1990-02-15
USC00027435,1989-12-29
USC00027530,1990-01-03
USC00027560,1990-02-02
USC00027593,1990-01-03
USC00027622,1990-01-18
USC00027708,1990-01-03
USC00027716,1989-12-29
USC00027855,1989-12-29
USC00027880,1990-01-18
USC00028012,1989-12-29
USC00028018,1989-12-29
USC00028329,1989-12-29
USC00028349,1990-01-03
USC00028796,1990-01-19
USC00028800,1990-01-19
USC00028815,1990-01-19
USC00028865,1990-02-14
USC00028904,1990-01-18
USC00029156,1989-12-29
USC00029158,1990-02-02
USC00029271,1989-12-29
USC00029334,1990-01-03
USC00029359,1990-01-02
USC00029542,1989-12-29
USC00029562,1990-01-02
USC00030006,1989-12-08
USC00030064,1989-12-24
USC00030130,1989-12-19
USC00030150,1989-12-09
USC00030300,1989-12-08
USC00030458,1989-12-24
USC00030460,1989-12-08
USC00030586,1989-12-08
USC00030616,1989-12-08
USC00030664,1989-12-08
USC00030798,1989-12-17
USC00030806,1989-12-19
USC00030820,1989-12-08
USC00030832,1989-12-17
USC00030842,1989-12-08
USC00031152,1989-12-09
USC00031596,1989-12-16
USC00031632,1989-12-08
USC00031666,1989-12-08
USC00031750,1989-12-17
USC00031838,1989-12-17
USC00031900,1989-12-08
USC00031962,1989-12-08
USC00031968,1989-12-17
USC00032356,1989-12-08
USC00032366,1989-12-08
USC00032444,1989-12-08
USC00032922,1989-12-08
USC00032930,1989-12-07
USC00032946,1989-12-08
USC00033442,1989-12-09
USC00033466,1989-12-08
USC00033544,1989-12-08
USC00033600,1989-12-24
USC00033734,1989-12-07
USC00034106,1989-12-08
USC00034548,1989-12-09
USC00034638,1989-12-17
USC00034746,1989-12-08
USC00034756,1989-12-17
USC00034988,1989-12-08
USC00035036,1989-12-08
USC00035112,1989-12-08
USC00035200,1989-12-08
USC00035354,1989-12-08
USC00035358,1989-12-09
USC00035498,1989-12-17
USC00035591,1989-12-18
USC00035691,1989-12-17
USC00035908,1989-12-08
USC00036008,1989-12-08
USC00036380,1989-11-16
USC00036562,1989-12-19
USC00036768,1989-12-08
USC00036823,1989-12-08
USC00036928,1989-12-08
USC00038052,1989-12-17
USC00038084,1989-12-08
USC00040029,1989-10-25
USC00040161,1989-11-26
USC00040379,1990-01-15
USC00040684,1990-01-02
USC00040741,1989-09-19
USC00040931,1989-11-26
USC00040943,1989-09-18
USC00041010,1990-01-17
USC00041018,1989-10-24
USC00041072,1989-11-27
USC00041080,1990-01-16
USC00041149,1989-11-25
USC00041159,1990-02-16
USC00041277,1989-10-25
USC00041316,1990-02-17
USC00041497,1989-10-24
USC00041606,1989-11-26
USC00041614,1990-01-02
USC00041653,1990-02-01
USC00041697,1989-11-26
USC00041700,1989-10-24
USC00041806,1990-02-17
USC00041878,1990-02-03
USC00041907,1990-02-17
USC00041912,1990-02-01
USC00041990,1989-11-25
USC00042239,1990-01-02
USC00042331,1990-01-17
USC00042338,1989-10-25
USC00042456,1990-02-01
USC00042467,1989-10-03
USC00042500,1990-01-02
USC00042504,1990-01-02
USC00042506,1989-11-25
USC00042574,1990-01-31
USC00042671,1989-09-18
USC00042771,1990-01-18
USC00042941,1990-01-18
USC00043134,1990-02-01
USC00043157,1989-11-25
USC00043463,1990-01-02
USC00043489,1990-01-17
USC00043498,1990-01-17
USC00043551,1989-10-25
USC00043614,1989-11-25
USC00043621,1990-02-16
USC00043647,1990-02-13
USC00043672,1990-01-02
USC00043761,1990-02-16
USC00043791,1990-02-20
USC00043824,1990-02-01
USC00043859,1990-01-29
USC00043939,1990-01-02
USC00044211,1989-12-29
USC00044232,1990-01-16
USC00044288,1990-02-03
USC00044374,1989-10-25
USC00044412,1990-02-04
USC00044671,1990-01-16
USC00044713,1989-10-23
USC00044838,1989-10-24
USC00044881,1989-11-26
USC00045026,1989-10-25
USC00045311,1989-10-24
USC00045449,1989-11-26
USC00045679,1989-10-25
USC00045721,1990-01-17
USC00045890,1989-12-30
USC00045933,1990-01-16
USC00045983,1989-11-25
USC00046136,1990-01-02
USC00046165,1990-02-18
USC00046508,1990-01-31
USC00046597,1989-11-26
USC00046650,1990-01-17
USC00046685,1990-02-16
USC00046944,1989-11-26
USC00046946,1989-11-25
USC00047085,1989-10-23
USC00047253,1990-01-16
USC00047581,1989-11-25
USC00047641,1989-10-02
USC00047689,1990-01-01
USC00048207,1989-10-03
USC00048218,1989-10-25
USC00048353,1990-02-16
USC00048380,1989-11-25
USC00048606,1990-01-02
USC00048702,1990-01-17
USC00048758,1989-10-03
USC00048826,1990-01-02
USC00048873,1989-10-25
USC00048928,1990-02-04
USC00049026,1990-02-01
USC00049043,1989-10-03
USC00049053,1989-11-25
USC00049105,1989-09-18
USC00049124,1990-02-01
USC00049351,1989-11-26
USC00049390,1990-01-15
USC00049582,1990-01-17
USC00049671,1990-01-13
USC00049684,1990-02-17
USC00049694,1990-02-07
USC00049775,1989-11-26
USC00049855,1990-01-02
USC00049866,1989-11-26
USC00050102,1989-10-17
USC00050109,1989-10-16
USC00050214,1989-11-27
USC00050263,1989-09-13
USC00050372,1989-10-15
USC00050405,1989-10-16
USC00050454,1989-09-13
USC00050620,1989-10-16
USC00050776,1989-10-30
USC00050797,1989-10-26
USC00050834,1990-01-20
USC00050909,1989-09-13
USC00050945,1990-01-18
USC00050950,1989-10-16
USC00051017,1989-12-16
USC00051060,1989-11-01
USC00051121,1989-12-05
USC00051179,1989-10-16
USC00051186,1989-09-13
USC00051268,1989-12-07
USC00051294,1989-10-16
USC00051401,1989-09-12
USC00051440,1989-11-23
USC00051458,1989-12-07
USC00051528,1989-09-13
USC00051547,1989-11-01
USC00051564,1989-12-07
USC00051609,1989-12-06
USC00051660,1989-09-10
USC00051681,1989-09-10
USC00051713,1989-11-27
USC00051741,1989-12-10
USC00051772,1989-12-10
USC00051886,1990-02-15
USC00051932,1989-11-15
USC00051946,1989-10-27
USC00051959,1989-10-26
USC00051964,1989-12-06
USC00052184,1989-12-11
USC00052192,1990-01-03
USC00052281,1989-09-13
USC00052286,1989-11-25
USC00052326,1989-10-26
USC00052432,1989-10-26
USC00052446,1989-12-16
USC00052494,1989-10-16
USC00052759,1989-09-12
USC00052790,1989-09-13
USC00052932,1989-10-17
USC00052944,1989-09-12
USC00052965,1990-02-15
USC00053005,1989-09-12
USC00053016,1990-01-03
USC00053038,1989-12-15
USC00053063,1989-12-10
USC00053079,1989-11-01
USC00053116,1989-10-26
USC00053146,1990-01-03
USC00053246,1989-12-10
USC00053359,1989-11-27
USC00053489,1989-12-10
USC00053496,1989-10-16
USC00053530,1989-09-13
USC00053541,1989-10-30
USC00053553,1989-09-12
USC00053592,1989-10-15
USC00053629,1989-09-13
USC00053656,1989-09-13
USC00053662,1989-10-26
USC00053738,1990-02-13
USC00053828,1989-12-07
USC00053867,1989-10-28
USC00053951,1990-02-15
USC00054054,1989-09-09
USC00054076,1989-12-07
USC00054082,1989-09-13
USC00054135,1989-09-12
USC00054242,1989-10-16
USC00054293,1989-09-12
USC00054380,1989-10-17
USC00054388,1990-01-19
USC00054413,1989-12-15
USC00054444,1989-12-07
USC00054452,1989-10-16
USC00054538,1989-11-02
USC00054546,1989-12-07
USC00054603,1989-12-07
USC00054726,1989-12-11
USC00054734,1989-11-27
USC00054742,1989-09-13
USC00054762,1989-10-16
USC00054770,1989-12-07
USC00054834,1989-12-16
USC00054934,1989-11-26
USC00054945,1989-09-13
USC00055025,1989-10-16
USC00055048,1989-11-25
USC00055056,1989-10-16
USC00055116,1989-09-13
USC00055236,1989-10-15
USC00055322,1989-10-18
USC00055414,1989-10-27
USC00055422,1989-12-16
USC00055446,1989-11-25
USC00055487,1989-10-28
USC00055507,1989-12-11
USC00055531,1990-01-03
USC00055706,1989-12-10
USC00055722,1990-02-08
USC00055734,1989-09-12
USC00055797,1989-09-11
USC00055922,1989-09-12
USC00055934,1989-09-12
USC00055970,1990-01-03
USC00055984,1989-09-12
USC00056012,1989-10-26
USC00056023,1989-09-12
USC00056131,1989-12-17
USC00056136,1990-01-18
USC00056203,1989-10-16
USC00056258,1989-12-07
USC00056266,1990-02-02
USC00056306,1989-12-07
USC00056318,1990-01-03
USC00056326,1990-01-18
USC00056524,1989-10-17
USC00056559,1989-10-16
USC00056765,1989-12-07
USC00056797,1989-10-29
USC00056816,1989-09-12
USC00056820,1989-09-12
USC00056832,1989-11-25
USC00056925,1989-09-12
USC00056970,1989-10-16
USC00056977,1989-09-12
USC00057017,1989-10-26
USC00057020,1989-11-01
USC00057031,1989-12-16
USC00057050,1990-01-03
USC00057167,1989-11-01
USC00057287,1989-11-01
USC00057309,1989-09-11
USC00057315,1989-11-01
USC00057337,1990-01-04
USC00057370,1989-09-13
USC00057430,1989-12-17
USC00057460,1989-10-17
USC00057510,1989-10-17
USC00057515,1989-11-15
USC00057557,1989-11-01
USC00057572,1989-10-15
USC00057618,1989-11-01
USC00057656,1989-10-16
USC00057816,1989-10-16
USC00057848,1989-09-12
USC00057866,1989-11-01
USC00057936,1989-10-26
USC00057950,1989-12-11
USC00057992,1989-12-07
USC00058022,1989-10-16
USC00058064,1989-09-12
USC00058157,1989-10-18
USC00058204,1989-10-04
USC00058290,1989-10-15
USC00058429,1989-10-18
USC00058431,1990-01-03
USC00058436,1989-10-18
USC00058501,1989-10-16
USC00058575,1989-10-26
USC00058582,1990-01-03
USC00058756,1989-10-26
USC00058781,1989-10-16
USC00058793,1989-12-07
USC00058839,1989-10-15
USC00058931,1989-09-12
USC00058995,1989-09-12
USC00059096,1989-10-16
USC00059147,1989-11-01
USC00059175,1989-10-16
USC00059181,1989-10-04
USC00059216,1989-10-17
USC00059243,1989-11-01
USC00059265,1989-09-12
USC00059275,1989-10-26
USC00059295,1989-12-06
USC00059297,1989-10-16
USC00060128,1989-11-22
USC00060961,1989-12-16
USC00060973,1989-12-20
USC00061488,1989-11-23
USC00061689,1989-11-23
USC00062658,1989-12-15
USC00063207,1989-11-23
USC00064488,1989-11-23
USC00064767,1989-11-23
USC00065077,1989-11-23
USC00065445,1989-11-19
USC00065910,1990-01-08
USC00066966,1989-11-23
USC00067373,1989-11-23
USC00067432,1989-11-27
USC00067970,1989-11-23
USC00068138,1989-11-23
USC00069388,1989-11-23
USC00069775,1989-11-23
USC00072730,1989-11-23
USC00073570,1989-12-05
USC00073595,1989-11-23
USC00075320,1989-11-23
USC00075915,1989-11-23
USC00076410,1989-12-08
USC00079605,1989-11-22
USC00083322,1989-12-24
USC00084366,1989-12-23
USC00084394,1989-12-23
USC00085099,1989-12-23
USC00085275,1989-12-23
USC00085879,1989-12-23
USC00090441,1989-12-23
USC00090969,1989-11-17
USC00091266,1989-12-23
USC00091463,1989-12-23
USC00091585,1989-12-09
USC00091732,1989-12-25
USC00091973,1989-12-24
USC00092006,1989-12-10
USC00092153,1989-12-23
USC00092408,1989-12-09
USC00092475,1989-12-10
USC00092485,1989-12-10
USC00092783,1989-12-22
USC00093115,1989-12-26
USC00093465,1989-12-23
USC00093538,1989-12-23
USC00093754,1989-12-23
USC00094230,1989-12-30
USC00094429,1989-12-23
USC00095811,1989-12-24
USC00096087,1989-12-16
USC00096323,1989-12-23
USC00096407,1989-12-09
USC00096838,1989-12-25
USC00097201,1989-12-23
USC00097276,1989-12-23
USC00097600,1989-12-25
USC00097808,1989-12-23
USC00098436,1989-12-25
USC00098476,1989-12-23
USC00098972,1989-12-23
USC00100227,1989-10-28
USC00100282,1989-11-27
USC00100347,1990-01-02
USC00100375,1989-10-28
USC00100448,1990-01-01
USC00100470,1989-10-28
USC00100667,1989-11-27
USC00100915,1989-10-28
USC00101002,1990-01-02
USC00101017,1989-10-27
USC00101180,1990-01-05
USC00101195,1990-01-01
USC00101363,1989-11-13
USC00101380,1990-01-02
USC00101408,1990-01-04
USC00101514,1989-10-28
USC00101551,1990-01-14
USC00101636,1989-10-27
USC00101663,1990-01-01
USC00101671,1989-11-24
USC00102187,1990-01-05
USC00102246,1989-10-27
USC00102260,1989-11-26
USC00102390,1989-10-27
USC00102575,1989-10-27
USC00102676,1989-10-26
USC00102707,1989-10-28
USC00102845,1989-12-28
USC00102875,1989-10-28
USC00102892,1989-11-14
USC00103108,1989-10-27
USC00103110,1989-11-26
USC00103143,1989-12-17
USC00103297,1989-10-28
USC00103417,1989-10-24
USC00103448,1990-01-02
USC00103554,1989-11-08
USC00103760,1990-02-06
USC00103771,1989-12-17
USC00103882,1989-10-28
USC00103964,1989-10-28
USC00104150,1989-11-14
USC00104268,1990-01-02
USC00104442,1989-11-14
USC00104456,1989-10-28
USC00104598,1989-10-02
USC00104831,1989-11-12
USC00104845,1989-10-25
USC00105013,1990-01-04
USC00105275,1989-10-26
USC00105414,1989-11-14
USC00105462,1989-12-17
USC00105567,1990-01-02
USC00105678,1990-01-02
USC00105708,1989-11-13
USC00105716,1989-10-28
USC00105897,1989-11-26
USC00105980,1989-11-25
USC00106053,1989-11-27
USC00106152,1989-12-18
USC00106174,1990-01-02
USC00106230,1989-11-06
USC00106250,1990-01-04
USC00106388,1989-10-26
USC00106424,1989-11-26
USC00106493,1989-11-26
USC00106542,1990-01-07
USC00106764,1989-11-14
USC00106844,1990-01-04
USC00106877,1989-11-25
USC00106891,1990-01-02
USC00107040,1989-11-26
USC00107046,1989-11-26
USC00107188,1989-12-18
USC00107264,1989-12-02
USC00107301,1989-12-17
USC00107320,1989-10-27
USC00107346,1989-12-18
USC00107386,1989-11-23
USC00107644,1989-10-28
USC00107648,1989-11-25
USC00107673,1989-11-17
USC00107706,1990-02-06
USC00108062,1990-02-12
USC00108080,1989-10-31
USC00108137,1989-11-24
USC00108380,1989-11-26
USC00108395,1989-11-26
USC00108412,1989-10-25
USC00108535,1989-10-26
USC00108676,1989-11-14
USC00108937,1990-01-02
USC00109000,1989-11-26
USC00109293,1989-11-25
USC00109303,1989-11-25
USC00109498,1989-11-13
USC00109560,1989-10-27
USC00109638,1990-01-05
USC00109846,1989-11-14
USC00109951,1989-10-28
USC00109963,1989-12-09
USC00110055,1989-12-08
USC00110072,1989-12-10
USC00110187,1989-12-08
USC00110203,1989-10-19
USC00110211,1990-02-15
USC00110338,1989-11-23
USC00110356,1989-12-11
USC00110442,1989-10-20
USC00110492,1989-12-11
USC00110598,1989-12-11
USC00110608,1989-12-08
USC00110868,1989-12-11
USC00110993,1989-12-08
USC00111160,1989-11-08
USC00111250,1989-12-10
USC00111265,1989-12-08
USC00111280,1989-12-13
USC00111296,1989-12-08
USC00111302,1989-12-07
USC00111329,1989-12-14
USC00111386,1989-12-08
USC00111420,1989-12-11
USC00111436,1989-12-11
USC00111475,1989-12-11
USC00111491,1989-12-15
USC00111497,1989-10-20
USC00111577,1989-10-19
USC00111627,1989-12-11
USC00111700,1989-12-08
USC00112140,1989-10-19
USC00112145,1989-12-13
USC00112193,1989-12-14
USC00112223,1989-10-20
USC00112332,1989-12-15
USC00112348,1989-11-23
USC00112483,1989-12-07
USC00112679,1989-12-13
USC00112687,1989-12-11
USC00112736,1989-11-18
USC00112745,1989-11-23
USC00112923,1989-12-11
USC00112931,1989-12-08
USC00112993,1989-10-20
USC00113109,1989-10-19
USC00113262,1989-11-19
USC00113312,1989-11-03
USC00113320,1989-12-11
USC00113335,1989-10-20
USC00113369,1989-12-10
USC00113384,1989-12-10
USC00113413,1989-10-20
USC00113530,1989-12-11
USC00113572,1989-12-15
USC00113595,1989-12-07
USC00113666,1989-12-14
USC00113683,1989-12-15
USC00113738,1989-10-20
USC00113940,1989-12-11
USC00114108,1989-12-13
USC00114198,1989-10-19
USC00114317,1989-12-19
USC00114355,1989-12-11
USC00114442,1989-12-11
USC00114489,1989-12-15
USC00114603,1989-12-11
USC00114629,1989-12-08
USC00114655,1989-12-11
USC00114710,1990-02-15
USC00114739,1989-12-11
USC00114805,1989-11-16
USC00114823,1989-12-11
USC00114837,1989-10-19
USC00114957,1989-12-08
USC00115272,1989-10-19
USC00115326,1989-10-20
USC00115342,1989-12-08
USC00115372,1990-01-26
USC00115413,1989-12-13
USC00115430,1989-12-13
USC00115493,1989-11-03
USC00115515,1989-12-08
USC00115539,1989-12-13
USC00115712,1989-10-20
USC00115768,1989-11-22
USC00115792,1989-12-10
USC00115833,1989-12-13
USC00115841,1989-12-14
USC00115888,1989-12-08
USC00115901,1989-12-14
USC00115917,1989-12-14
USC00115927,1989-12-19
USC00115935,1989-12-11
USC00115943,1989-10-20
USC00116011,1989-12-09
USC00116159,1989-10-20
USC00116200,1989-10-20
USC00116446,1989-12-08
USC00116490,1989-12-14
USC00116526,1989-12-11
USC00116558,1989-12-07
USC00116579,1989-10-20
USC00116610,1989-10-19
USC00116616,1989-10-20
USC00116661,1989-10-20
USC00116663,1989-10-20
USC00116670,1989-12-14
USC00116725,1989-11-18
USC00116753,1989-10-20
USC00116765,1989-12-11
USC00116819,1989-10-19
USC00116910,1989-12-11
USC00116973,1989-12-08
USC00116998,1989-12-10
USC00117004,1989-12-11
USC00117077,1989-12-13
USC00117082,1989-12-11
USC00117157,1989-12-08
USC00117354,1989-12-14
USC00117391,1989-12-11
USC00117487,1989-12-08
USC00117603,1989-12-15
USC00117636,1989-12-14
USC00117859,1989-12-08
USC00117952,1989-12-14
USC00118020,1989-12-16
USC00118147,1989-12-08
USC00118293,1989-10-20
USC00118353,1989-10-20
USC00118604,1989-12-11
USC00118684,1989-10-19
USC00118690,1989-12-15
USC00118740,1989-10-19
USC00118756,1989-12-11
USC00118781,1989-12-15
USC00118860,1989-12-11
USC00118870,1989-12-11
USC00118916,1989-12-10
USC00119002,1989-12-08
USC00119021,1989-12-14
USC00119029,1989-10-18
USC00119030,1989-12-14
USC00119221,1989-12-11
USC00119241,1989-12-15
USC00119354,1989-10-19
USC00120177,1989-11-16
USC00120182,1989-10-19
USC00120200,1989-10-19
USC00120550,1989-10-19
USC00120676,1989-10-19
USC00120784,1989-10-19
USC00120830,1989-10-19
USC00120858,1989-10-19
USC00120877,1989-10-19
USC00121192,1989-10-19
USC00121229,1989-10-19
USC00121739,1989-10-19
USC00121747,1989-10-19
USC00121869,1989-12-08
USC00121873,1990-01-01
USC00122096,1989-10-19
USC00122149,1989-10-19
USC00122309,1989-10-19
USC00122605,1989-12-08
USC00122638,1989-12-14
USC00122731,1989-12-08
USC00122825,1989-10-19
USC00123027,1989-10-18
USC00123066,1989-10-20
USC00123082,1989-10-19
USC00123104,1989-10-20
USC00123207,1989-10-19
USC00123418,1989-10-19
USC00123513,1989-10-19
USC00123527,1989-10-19
USC00123547,1989-10-18
USC00123777,1989-10-20
USC00124008,1989-12-03
USC00124181,1989-10-19
USC00124244,1989-11-03
USC00124272,1989-10-19
USC00124356,1989-10-19
USC00124372,1989-12-08
USC00124527,1989-10-20
USC00124550,1989-12-11
USC00124642,1989-10-19
USC00124662,1989-10-19
USC00124715,1989-10-19
USC00124730,1989-10-19
USC00124782,1989-11-03
USC00124837,1989-10-19
USC00125050,1989-10-19
USC00125117,1989-10-19
USC00125122,1989-10-20
USC00125174,1989-10-19
USC00125237,1989-12-15
USC00125337,1989-10-19
USC00125407,1989-10-19
USC00125658,1989-10-19
USC00125815,1989-10-19
USC00125837,1989-12-11
USC00126001,1989-12-08
USC00126023,1989-10-19
USC00126151,1989-12-08
USC00126164,1989-11-17
USC00126304,1989-10-19
USC00126338,1989-10-19
USC00126435,1989-12-15
USC00126506,1989-10-19
USC00126580,1989-10-19
USC00126705,1989-12-08
USC00126830,1989-10-20
USC00126872,1989-12-08
USC00126989,1989-11-03
USC00127028,1989-10-20
USC00127069,1989-10-19
USC00127102,1989-12-04
USC00127125,1989-12-08
USC00127298,1989-10-19
USC00127370,1989-10-19
USC00127482,1989-10-20
USC00127522,1989-11-16
USC00127646,1989-10-18
USC00127724,1989-12-08
USC00127755,1989-10-19
USC00127875,1989-12-08
USC00127935,1989-12-08
USC00127959,1989-10-19
USC00128036,1989-10-19
USC00128290,1989-10-19
USC00128352,1989-12-08
USC00128723,1989-12-15
USC00128784,1989-10-19
USC00128848,1989-10-19
USC00128999,1989-10-19
USC00129080,1989-10-19
USC00129113,1989-12-08
USC00129138,1989-10-19
USC00129222,1989-10-19
USC00129240,1989-12-03
USC00129253,1989-12-08
USC00129300,1989-11-16
USC00129430,1989-10-19
USC00129511,1989-10-19
USC00129557,1989-10-19
USC00129605,1989-12-08
USC00129670,1989-10-20
USC00129678,1989-10-19
USC00130112,1989-11-28
USC00130133,1989-11-22
USC00130157,1989-11-22
USC00130181,1989-11-28
USC00130200,1989-11-28
USC00130203,1990-01-21
USC00130213,1989-11-28
USC00130241,1989-11-28
USC00130364,1989-12-10
USC00130385,1990-01-20
USC00130536,1989-12-11
USC00130576,1989-12-11
USC00130600,1989-11-28
USC00130608,1989-12-14
USC00130745,1989-12-11
USC00130753,1989-12-11
USC00130807,1989-11-28
USC00130910,1989-12-11
USC00130923,1989-10-31
USC00130933,1989-11-23
USC00130999,1990-02-03
USC00131060,1989-12-10
USC00131099,1989-11-22
USC00131233,1989-12-08
USC00131257,1989-12-13
USC00131277,1989-10-30
USC00131319,1989-11-22
USC00131354,1989-12-11
USC00131394,1989-11-28
USC00131402,1989-11-16
USC00131442,1989-10-31
USC00131533,1989-11-28
USC00131541,1989-10-31
USC00131635,1989-11-22
USC00131704,1989-12-11
USC00131710,1989-12-11
USC00131731,1989-11-03
USC00131742,1989-11-16
USC00131833,1989-11-28
USC00131848,1989-12-11
USC00131954,1989-11-04
USC00131962,1989-11-28
USC00132110,1989-11-21
USC00132171,1989-11-28
USC00132235,1989-12-14
USC00132299,1989-12-11
USC00132311,1989-11-22
USC00132364,1989-11-22
USC00132388,1989-11-22
USC00132573,1989-11-23
USC00132603,1989-11-28
USC00132689,1989-11-22
USC00132724,1989-11-15
USC00132789,1989-12-10
USC00132864,1989-11-18
USC00132977,1989-10-31
USC00132999,1989-10-31
USC00133007,1989-12-10
USC00133108,1989-10-31
USC00133120,1989-11-16
USC00133239,1989-11-03
USC00133290,1989-12-19
USC00133438,1989-12-15
USC00133473,1989-11-03
USC00133487,1989-11-16
USC00133509,1989-11-28
USC00133517,1989-12-14
USC00133584,1989-10-31
USC00133623,1989-11-28
USC00133632,1989-11-27
USC00133712,1989-12-13
USC00133718,1989-11-27
USC00133909,1989-10-31
USC00133960,1989-11-22
USC00133985,1989-10-31
