id,date
USC00010369,1991-01-25
USC00013645,1990-12-24
USC00013655,1991-01-25
USC00017207,1991-01-25
USC00018469,1991-01-25
USC00020159,1990-11-02
USC00020174,1990-12-17
USC00020380,1990-12-22
USC00020487,1990-11-27
USC00020492,1990-12-16
USC00020586,1990-12-21
USC00020632,1990-12-22
USC00020750,1990-11-07
USC00020775,1990-11-08
USC00020871,1990-11-27
USC00021001,1990-11-02
USC00021248,1990-11-02
USC00021330,1990-12-21
USC00021664,1990-11-27
USC00021849,1990-12-21
USC00021920,1990-11-06
USC00022329,1990-11-26
USC00023009,1990-11-02
USC00023160,1990-11-07
USC00023303,1990-12-17
USC00023448,1990-12-22
USC00023505,1990-12-21
USC00023596,1990-12-17
USC00023683,1990-11-02
USC00023828,1990-11-02
USC00023961,1991-01-16
USC00024089,1990-11-07
USC00024182,1990-12-21
USC00024586,1990-11-26
USC00024675,1991-01-17
USC00024686,1990-12-12
USC00025129,1990-11-07
USC00025412,1990-11-03
USC00025665,1990-11-07
USC00025780,1990-11-02
USC00025924,1990-12-23
USC00026119,1990-12-20
USC00026180,1991-01-04
USC00026190,1990-11-26
USC00026597,1990-11-02
USC00026601,1990-11-02
USC00026716,1990-11-08
USC00026796,1990-12-20
USC00026840,1990-12-22
USC00027390,1990-12-21
USC00027488,1990-12-21
USC00027530,1990-12-20
USC00027560,1990-12-20
USC00027593,1990-12-21
USC00027716,1990-11-27
USC00027855,1990-12-16
USC00028012,1990-11-07
USC00028018,1990-11-07
USC00028329,1990-11-03
USC00028598,1990-12-12
USC00028650,1990-12-19
USC00028795,1990-12-21
USC00029156,1990-11-27
USC00029271,1991-01-29
USC00029334,1990-12-21
USC00029359,1990-12-17
USC00029542,1991-01-21
USC00030064,1990-12-23
USC00030150,1990-12-23
USC00030220,1990-12-22
USC00030458,1990-12-22
USC00030460,1990-12-23
USC00030536,1990-12-23
USC00030582,1990-12-23
USC00030586,1990-12-22
USC00030664,1990-12-23
USC00030798,1990-12-22
USC00030842,1990-12-23
USC00030936,1990-12-23
USC00031102,1990-12-23
USC00031457,1990-12-23
USC00031596,1990-12-22
USC00031632,1990-12-23
USC00031666,1990-12-22
USC00031750,1990-12-23
USC00031829,1990-12-27
USC00031838,1990-12-23
USC00031900,1990-12-23
USC00031948,1990-12-23
USC00032015,1990-12-23
USC00032356,1990-12-22
USC00032366,1990-12-22
USC00032444,1991-02-25
USC00032544,1990-12-23
USC00032670,1990-12-20
USC00032794,1990-12-27
USC00032930,1990-12-21
USC00032946,1990-12-23
USC00032962,1990-12-26
USC00033438,1990-12-23
USC00033544,1990-12-22
USC00033600,1990-12-23
USC00033704,1990-12-23
USC00033862,1990-12-22
USC00034106,1990-12-22
USC00034134,1990-12-23
USC00034290,1990-12-28
USC00034572,1990-12-23
USC00034666,1990-12-27
USC00034746,1990-12-23
USC00034938,1990-12-23
USC00034988,1990-12-23
USC00035018,1990-12-22
USC00035036,1990-12-23
USC00035046,1990-12-22
USC00035079,1990-12-22
USC00035112,1990-12-23
USC00035160,1990-12-30
USC00035200,1990-12-27
USC00035354,1990-12-30
USC00035358,1990-12-23
USC00035428,1990-12-23
USC00035498,1990-12-23
USC00035508,1990-12-30
USC00035820,1990-12-22
USC00035908,1990-12-22
USC00036008,1990-12-22
USC00036380,1990-12-22
USC00036506,1990-12-23
USC00036562,1990-12-23
USC00036928,1990-12-30
USC00037488,1990-12-23
USC00040029,1990-11-14
USC00040161,1990-11-20
USC00040684,1991-01-04
USC00040741,1990-11-20
USC00040931,1990-11-26
USC00040943,1990-08-20
USC00041010,1990-12-21
USC00041018,1990-11-20
USC00041072,1991-02-05
USC00041080,1990-12-15
USC00041149,1990-12-15
USC00041214,1990-12-16
USC00041277,1990-11-26
USC00041497,1990-11-20
USC00041606,1990-12-19
USC00041614,1990-11-20
USC00041697,1990-11-26
USC00041700,1990-11-14
USC00041990,1990-12-13
USC00042148,1990-12-19
USC00042239,1990-12-20
USC00042338,1990-11-26
USC00042456,1990-12-19
USC00042467,1990-12-11
USC00042500,1990-12-15
USC00042504,1990-11-26
USC00042506,1990-11-25
USC00042574,1990-12-14
USC00042671,1990-10-19
USC00043157,1990-11-20
USC00043357,1990-12-19
USC00043384,1990-12-17
USC00043463,1990-12-20
USC00043551,1990-11-01
USC00043573,1990-12-15
USC00043614,1990-12-19
USC00043621,1990-12-19
USC00043647,1990-12-19
USC00043672,1990-12-16
USC00043824,1990-12-13
USC00043939,1990-12-16
USC00044211,1990-12-16
USC00044288,1990-12-14
USC00044374,1990-11-14
USC00044555,1990-12-19
USC00044577,1990-12-19
USC00044713,1990-11-20
USC00044838,1990-11-14
USC00044881,1990-12-12
USC00045026,1990-11-01
USC00045311,1990-11-01
USC00045356,1990-11-26
USC00045449,1990-12-15
USC00045679,1990-11-14
USC00045756,1990-12-20
USC00045890,1990-11-26
USC00045933,1990-12-15
USC00045983,1990-11-14
USC00046136,1990-12-15
USC00046508,1990-12-19
USC00046597,1990-11-26
USC00046650,1990-12-19
USC00046657,1990-12-21
USC00046944,1990-11-20
USC00046946,1990-12-15
USC00046962,1990-12-20
USC00047404,1990-12-19
USC00047581,1990-12-14
USC00047641,1990-11-20
USC00047689,1990-12-15
USC00048045,1990-12-20
USC00048207,1990-11-26
USC00048218,1990-11-26
USC00048380,1990-11-25
USC00048606,1990-12-13
USC00048826,1990-12-20
USC00048873,1990-11-14
USC00048928,1990-12-15
USC00049026,1991-01-07
USC00049043,1990-11-20
USC00049053,1990-11-25
USC00049105,1990-10-31
USC00049124,1990-12-15
USC00049351,1990-11-26
USC00049390,1990-12-15
USC00049582,1990-12-15
USC00049694,1990-12-19
USC00049855,1990-12-19
USC00049866,1990-12-11
USC00050102,1990-10-08
USC00050109,1990-10-08
USC00050183,1990-10-07
USC00050214,1990-11-28
USC00050263,1990-10-20
USC00050372,1990-10-07
USC00050454,1990-10-08
USC00050620,1990-10-08
USC00050776,1990-10-09
USC00050797,1990-11-03
USC00050825,1990-12-06
USC00050834,1990-10-09
USC00050848,1990-10-08
USC00050909,1990-10-03
USC00050950,1990-10-08
USC00051017,1990-12-14
USC00051060,1990-10-07
USC00051071,1990-11-27
USC00051179,1990-10-08
USC00051186,1990-10-07
USC00051268,1990-11-03
USC00051294,1990-10-09
USC00051401,1990-10-07
USC00051440,1990-11-03
USC00051458,1990-11-03
USC00051528,1990-10-08
USC00051547,1990-10-08
USC00051564,1990-10-08
USC00051609,1990-12-12
USC00051660,1990-09-28
USC00051681,1990-10-07
USC00051713,1990-10-20
USC00051741,1990-11-03
USC00051772,1990-11-27
USC00051886,1990-12-17
USC00051932,1990-10-08
USC00051944,1991-01-04
USC00051959,1990-10-08
USC00051964,1990-10-20
USC00052184,1990-10-20
USC00052192,1990-12-20
USC00052281,1990-10-08
USC00052286,1990-12-13
USC00052326,1990-11-03
USC00052432,1990-11-07
USC00052446,1990-12-30
USC00052494,1990-10-08
USC00052759,1990-10-07
USC00052790,1990-10-08
USC00052932,1990-10-08
USC00052944,1990-10-08
USC00052965,1990-12-06
USC00053005,1990-10-07
USC00053006,1990-10-07
USC00053016,1990-11-07
USC00053038,1990-10-08
USC00053063,1990-10-07
USC00053079,1990-11-03
USC00053116,1990-10-08
USC00053146,1990-12-21
USC00053246,1990-12-21
USC00053258,1990-10-08
USC00053359,1990-11-05
USC00053489,1990-11-03
USC00053496,1990-10-08
USC00053530,1990-10-08
USC00053541,1990-10-09
USC00053553,1990-10-07
USC00053592,1990-10-08
USC00053629,1990-10-08
USC00053656,1990-10-08
USC00053662,1990-11-06
USC00053738,1990-11-20
USC00053828,1990-10-09
USC00053867,1990-10-07
USC00053951,1990-11-03
USC00054054,1990-10-07
USC00054076,1990-12-12
USC00054082,1990-11-03
USC00054135,1990-10-07
USC00054242,1990-10-08
USC00054293,1990-10-08
USC00054380,1990-10-08
USC00054413,1990-11-03
USC00054444,1990-11-03
USC00054452,1990-10-08
USC00054538,1990-10-21
USC00054546,1990-11-03
USC00054603,1990-12-30
USC00054664,1990-10-17
USC00054726,1990-11-03
USC00054734,1990-10-08
USC00054742,1990-10-08
USC00054762,1990-10-08
USC00054770,1990-11-03
USC00054834,1990-11-02
USC00054934,1990-11-07
USC00054945,1990-10-08
USC00055025,1990-10-08
USC00055048,1990-12-14
USC00055056,1990-10-08
USC00055116,1990-10-08
USC00055236,1990-10-08
USC00055322,1990-10-09
USC00055327,1990-12-28
USC00055414,1990-12-02
USC00055422,1990-11-06
USC00055446,1990-10-07
USC00055487,1990-11-21
USC00055507,1990-10-09
USC00055531,1990-10-20
USC00055706,1990-11-02
USC00055734,1990-10-07
USC00055797,1990-09-29
USC00055922,1990-10-08
USC00055934,1990-10-07
USC00055970,1990-11-07
USC00055984,1990-10-07
USC00056012,1990-11-03
USC00056023,1990-11-07
USC00056131,1990-11-03
USC00056136,1990-11-03
USC00056203,1990-10-19
USC00056258,1990-11-07
USC00056266,1990-11-27
USC00056306,1990-11-04
USC00056311,1990-11-28
USC00056318,1990-11-27
USC00056326,1990-10-08
USC00056524,1990-10-23
USC00056559,1990-10-08
USC00056765,1990-11-03
USC00056797,1990-10-07
USC00056816,1990-10-08
USC00056820,1990-10-06
USC00056832,1990-11-03
USC00056970,1990-10-08
USC00056977,1990-10-07
USC00057017,1990-10-09
USC00057020,1990-10-21
USC00057031,1990-11-03
USC00057167,1990-10-20
USC00057287,1990-11-03
USC00057309,1990-10-08
USC00057315,1991-02-18
USC00057337,1990-11-03
USC00057370,1990-10-21
USC00057430,1990-10-21
USC00057460,1990-11-05
USC00057510,1990-10-08
USC00057515,1990-10-08
USC00057557,1990-10-08
USC00057572,1990-10-07
USC00057618,1990-12-13
USC00057656,1990-09-28
USC00057816,1990-10-20
USC00057848,1990-10-07
USC00057866,1990-11-03
USC00057936,1990-10-07
USC00057950,1990-11-27
USC00057992,1990-11-07
USC00058008,1990-10-08
USC00058022,1990-10-07
USC00058064,1990-09-28
USC00058157,1990-11-07
USC00058204,1990-10-08
USC00058290,1990-10-20
USC00058429,1990-11-03
USC00058431,1990-12-06
USC00058436,1990-11-03
USC00058501,1990-10-17
USC00058575,1990-10-08
USC00058582,1990-10-19
USC00058756,1990-10-07
USC00058781,1990-10-08
USC00058793,1990-11-03
USC00058839,1990-10-07
USC00058931,1990-10-08
USC00058995,1990-10-07
USC00059096,1990-10-08
USC00059175,1990-11-05
USC00059181,1990-09-19
USC00059216,1990-10-08
USC00059243,1990-10-08
USC00059265,1990-10-08
USC00059275,1990-11-07
USC00059295,1990-10-08
USC00059297,1990-10-08
USC00060128,1991-01-12
USC00060227,1990-12-16
USC00060299,1990-12-28
USC00060961,1990-12-28
USC00061488,1990-12-28
USC00061689,1991-02-26
USC00061762,1991-02-01
USC00062658,1990-12-28
USC00063207,1990-12-28
USC00063857,1990-12-28
USC00064488,1990-12-28
USC00064767,1990-12-28
USC00065077,1990-12-28
USC00065266,1991-02-27
USC00065445,1990-11-12
USC00065910,1991-01-11
USC00066966,1990-12-28
USC00067002,1990-12-28
USC00067157,1990-12-28
USC00067373,1991-01-12
USC00067432,1990-12-28
USC00067970,1990-12-28
USC00069162,1990-12-28
USC00069388,1990-12-28
USC00069775,1990-12-28
USC00072730,1990-12-28
USC00073570,1991-01-08
USC00073595,1990-12-28
USC00075915,1991-01-07
USC00076410,1990-12-28
USC00079605,1990-12-27
USC00090746,1991-02-15
USC00090969,1991-01-25
USC00091585,1991-01-25
USC00091619,1991-01-24
USC00091732,1991-01-24
USC00091965,1991-01-24
USC00091982,1991-01-24
USC00092006,1991-01-25
USC00092180,1991-01-24
USC00092475,1991-01-24
USC00092485,1991-01-25
USC00093115,1991-01-25
USC00093621,1991-01-25
USC00094230,1991-01-24
USC00094594,1991-02-15
USC00094648,1991-02-15
USC00094941,1991-01-25
USC00096335,1991-02-15
USC00098436,1991-01-25
USC00098740,1991-01-25
USC00099077,1991-01-23
USC00099524,1991-01-24
USC00100010,1990-12-14
USC00100227,1990-11-26
USC00100282,1990-11-21
USC00100347,1990-12-13
USC00100375,1990-12-14
USC00100448,1990-11-21
USC00100470,1990-11-02
USC00100667,1990-11-03
USC00101002,1990-12-13
USC00101017,1990-11-07
USC00101079,1990-11-27
USC00101180,1990-11-27
USC00101195,1990-12-13
USC00101363,1990-11-07
USC00101380,1990-12-13
USC00101408,1990-12-02
USC00101514,1990-10-17
USC00101551,1990-12-02
USC00101636,1990-11-01
USC00101663,1990-11-05
USC00102246,1990-11-05
USC00102260,1990-11-04
USC00102575,1990-10-03
USC00102676,1990-10-16
USC00102707,1990-11-05
USC00102845,1990-11-27
USC00102875,1990-10-19
USC00102892,1990-11-20
USC00102942,1990-12-25
USC00103110,1990-11-20
USC00103143,1990-11-27
USC00103297,1990-11-26
USC00103417,1990-10-06
USC00103554,1990-11-04
USC00103760,1990-12-12
USC00103771,1990-12-13
USC00103882,1990-11-01
USC00103964,1990-11-05
USC00104140,1990-12-14
USC00104150,1990-11-08
USC00104268,1990-11-21
USC00104442,1990-11-08
USC00104456,1990-11-04
USC00104598,1990-10-06
USC00104831,1990-11-20
USC00104845,1990-11-05
USC00105275,1990-11-06
USC00105414,1990-11-04
USC00105563,1991-01-08
USC00105567,1990-11-06
USC00105678,1990-12-18
USC00105708,1990-10-03
USC00105716,1990-11-21
USC00105897,1990-12-02
USC00105980,1990-11-20
USC00106053,1990-10-23
USC00106152,1990-11-21
USC00106174,1990-12-20
USC00106230,1990-11-03
USC00106250,1990-12-11
USC00106388,1990-11-20
USC00106424,1990-11-02
USC00106493,1990-11-04
USC00106542,1990-11-06
USC00106764,1990-11-05
USC00106844,1990-12-20
USC00106877,1990-12-19
USC00106891,1990-12-19
USC00107040,1990-12-02
USC00107046,1990-11-08
USC00107188,1991-01-04
USC00107301,1990-12-25
USC00107346,1990-11-06
USC00107386,1990-11-07
USC00107644,1990-11-05
USC00107648,1990-12-13
USC00107673,1990-12-14
USC00107706,1990-12-26
USC00107968,1990-12-26
USC00108022,1990-11-05
USC00108080,1990-11-20
USC00108137,1990-11-07
USC00108380,1991-01-07
USC00108412,1990-11-01
USC00108535,1990-11-21
USC00108676,1990-11-15
USC00108928,1990-12-13
USC00109000,1990-11-21
USC00109293,1990-11-21
USC00109303,1990-11-21
USC00109498,1990-11-04
USC00109560,1990-10-06
USC00109638,1990-12-20
USC00109846,1990-10-14
USC00109951,1990-10-22
USC00109963,1990-11-21
USC00110050,1990-12-23
USC00110055,1990-12-27
USC00110072,1990-12-02
USC00110187,1990-12-22
USC00110338,1990-12-28
USC00110356,1990-12-03
USC00110442,1991-01-21
USC00110492,1991-01-26
USC00110500,1991-01-26
USC00110598,1990-11-05
USC00110608,1991-01-26
USC00110868,1990-12-03
USC00110993,1990-12-23
USC00111160,1990-12-22
USC00111250,1990-12-02
USC00111265,1990-12-28
USC00111280,1990-12-18
USC00111296,1990-12-22
USC00111302,1990-12-22
USC00111329,1990-12-22
USC00111386,1990-12-28
USC00111436,1990-12-18
USC00111458,1990-12-23
USC00111475,1990-12-22
USC00111491,1990-12-27
USC00111497,1990-12-03
USC00111577,1990-12-03
USC00111627,1990-12-03
USC00111700,1990-12-23
USC00111836,1990-12-22
USC00112140,1990-12-23
USC00112145,1990-12-23
USC00112178,1991-02-27
USC00112193,1990-12-19
USC00112223,1990-11-09
USC00112332,1990-12-19
USC00112344,1990-12-23
USC00112348,1990-10-11
USC00112483,1990-12-22
USC00112500,1990-12-27
USC00112687,1990-12-19
