id,date
USC00010063,1995-01-23
USC00010369,1995-02-07
USC00010390,1995-01-23
USC00010655,1995-01-23
USC00011620,1995-02-07
USC00012096,1995-01-23
USC00013154,1995-02-07
USC00013573,1995-02-06
USC00013620,1995-01-24
USC00013645,1995-01-23
USC00013655,1995-01-23
USC00013775,1995-02-07
USC00013842,1995-02-11
USC00014226,1995-02-07
USC00015635,1995-01-23
USC00016000,1995-02-07
USC00016121,1995-02-04
USC00016478,1995-02-06
USC00017131,1995-01-23
USC00017157,1995-02-06
USC00017304,1995-02-07
USC00017999,1995-02-07
USC00018469,1995-01-23
USC00018998,1995-01-23
USC00020159,1994-11-04
USC00020174,1994-12-30
USC00020487,1994-10-16
USC00020750,1994-11-04
USC00020808,1994-11-04
USC00020871,1994-11-04
USC00021001,1994-10-15
USC00021248,1994-11-19
USC00021330,1995-01-17
USC00021574,1994-10-15
USC00021664,1994-11-04
USC00021920,1994-11-17
USC00023009,1994-10-15
USC00023160,1994-12-23
USC00023303,1994-10-16
USC00023448,1995-01-17
USC00023596,1994-10-15
USC00023683,1994-10-16
USC00023828,1994-10-15
USC00023961,1994-11-05
USC00024089,1994-11-19
USC00024453,1995-01-26
USC00024675,1994-12-27
USC00024849,1994-11-19
USC00025129,1994-11-19
USC00025412,1994-10-16
USC00025665,1994-11-19
USC00025780,1994-10-16
USC00026037,1994-11-19
USC00026119,1995-01-17
USC00026190,1994-11-26
USC00026468,1994-11-19
USC00026597,1994-10-16
USC00026601,1994-10-16
USC00026616,1994-11-19
USC00026796,1995-01-16
USC00026840,1995-01-17
USC00027390,1994-08-27
USC00027435,1994-10-15
USC00027530,1995-01-17
USC00027593,1994-11-04
USC00027716,1994-11-18
USC00028012,1994-11-04
USC00028018,1994-10-17
USC00028329,1994-10-16
USC00028468,1994-11-26
USC00029156,1994-10-15
USC00029334,1995-01-17
USC00029359,1994-10-15
USC00029542,1994-11-19
USC00030006,1995-01-22
USC00030130,1995-01-21
USC00030150,1995-01-06
USC00030220,1995-01-22
USC00030240,1994-12-09
USC00030286,1995-02-11
USC00030460,1995-02-06
USC00030586,1995-01-19
USC00030798,1995-01-22
USC00030936,1995-01-23
USC00031102,1995-01-22
USC00031152,1995-01-23
USC00031492,1995-01-22
USC00031596,1995-01-22
USC00031666,1995-01-03
USC00031750,1995-01-06
USC00031829,1995-01-22
USC00031834,1995-01-23
USC00031838,1995-01-23
USC00031900,1995-01-06
USC00031948,1995-01-23
USC00031962,1995-01-23
USC00032015,1995-01-23
USC00032356,1995-01-06
USC00032366,1995-01-06
USC00032444,1995-01-19
USC00032842,1995-01-23
USC00032930,1995-01-18
USC00032946,1995-01-19
USC00033242,1995-01-23
USC00033438,1995-01-23
USC00033442,1995-01-22
USC00033466,1995-01-23
USC00033544,1995-01-19
USC00033600,1995-01-19
USC00033704,1995-01-23
USC00033734,1995-01-03
USC00033862,1995-01-22
USC00034010,1995-01-23
USC00034060,1995-01-15
USC00034106,1995-01-19
USC00034134,1995-01-23
USC00034562,1995-01-22
USC00034638,1995-01-23
USC00034666,1995-01-19
USC00034708,1995-01-21
USC00034746,1995-01-19
USC00034756,1995-01-03
USC00034938,1995-01-22
USC00034988,1995-01-23
USC00035018,1995-01-06
USC00035036,1995-01-19
USC00035079,1995-01-23
USC00035112,1995-01-23
USC00035160,1995-01-19
USC00035354,1995-01-19
